cost,prize,profit,draws,h61,h60,h51
92800,16300.0,-76500.0,167,0,0,0
92800,16800.0,-76000.0,167,0,0,0
92800,17600.0,-75200.0,167,0,0,0
92800,22400.0,-70400.0,167,0,0,0
92800,15700.0,-77100.0,167,0,0,0
92800,16800.0,-76000.0,167,0,0,0
92800,13300.0,-79500.0,167,0,0,0
92800,24900.0,-67900.0,167,0,0,0
92800,14600.0,-78200.0,167,0,0,0
92800,20500.0,-72300.0,167,0,0,0
92800,23300.0,-69500.0,167,0,0,0
92800,16500.0,-76300.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,19600.0,-73200.0,167,0,0,0
92800,20100.0,-72700.0,167,0,0,0
92800,13600.0,-79200.0,167,0,0,0
92800,14600.0,-78200.0,167,0,0,0
92800,17300.0,-75500.0,167,0,0,0
92800,21300.0,-71500.0,167,0,0,0
92800,37300.0,-55500.0,167,0,0,0
92800,18400.0,-74400.0,167,0,0,0
92800,24500.0,-68300.0,167,0,0,0
92800,14600.0,-78200.0,167,0,0,0
92800,16400.0,-76400.0,167,0,0,0
92800,14900.0,-77900.0,167,0,0,0
92800,17000.0,-75800.0,167,0,0,0
92800,22400.0,-70400.0,167,0,0,0
92800,19000.0,-73800.0,167,0,0,0
92800,16000.0,-76800.0,167,0,0,0
92800,29800.0,-63000.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,14900.0,-77900.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,16700.0,-76100.0,167,0,0,0
92800,15000.0,-77800.0,167,0,0,0
92800,13400.0,-79400.0,167,0,0,0
92800,16400.0,-76400.0,167,0,0,0
92800,18300.0,-74500.0,167,0,0,0
92800,17300.0,-75500.0,167,0,0,0
92800,17300.0,-75500.0,167,0,0,0
92800,17200.0,-75600.0,167,0,0,0
92800,14800.0,-78000.0,167,0,0,0
92800,22200.0,-70600.0,167,0,0,0
92800,17400.0,-75400.0,167,0,0,0
92800,15500.0,-77300.0,167,0,0,0
92800,21700.0,-71100.0,167,0,0,0
92800,35800.0,-57000.0,167,0,0,0
92800,15100.0,-77700.0,167,0,0,0
92800,16500.0,-76300.0,167,0,0,0
92800,13900.0,-78900.0,167,0,0,0
92800,18400.0,-74400.0,167,0,0,0
92800,15800.0,-77000.0,167,0,0,0
92800,15100.0,-77700.0,167,0,0,0
92800,16800.0,-76000.0,167,0,0,0
92800,17400.0,-75400.0,167,0,0,0
92800,20700.0,-72100.0,167,0,0,0
92800,19400.0,-73400.0,167,0,0,0
92800,13600.0,-79200.0,167,0,0,0
92800,23000.0,-69800.0,167,0,0,0
92800,23200.0,-69600.0,167,0,0,0
92800,21300.0,-71500.0,167,0,0,0
92800,23900.0,-68900.0,167,0,0,0
92800,16700.0,-76100.0,167,0,0,0
92800,14700.0,-78100.0,167,0,0,0
92800,16500.0,-76300.0,167,0,0,0
92800,17600.0,-75200.0,167,0,0,0
92800,14900.0,-77900.0,167,0,0,0
92800,16000.0,-76800.0,167,0,0,0
92800,21000.0,-71800.0,167,0,0,0
92800,17000.0,-75800.0,167,0,0,0
92800,15200.0,-77600.0,167,0,0,0
92800,19700.0,-73100.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,15600.0,-77200.0,167,0,0,0
92800,18000.0,-74800.0,167,0,0,0
92800,15800.0,-77000.0,167,0,0,0
92800,16900.0,-75900.0,167,0,0,0
92800,16700.0,-76100.0,167,0,0,0
92800,36800.0,-56000.0,167,0,0,0
92800,15200.0,-77600.0,167,0,0,0
92800,17000.0,-75800.0,167,0,0,0
92800,14900.0,-77900.0,167,0,0,0
92800,15600.0,-77200.0,167,0,0,0
92800,16200.0,-76600.0,167,0,0,0
92800,16100.0,-76700.0,167,0,0,0
92800,18800.0,-74000.0,167,0,0,0
92800,16600.0,-76200.0,167,0,0,0
92800,17900.0,-74900.0,167,0,0,0
92800,18300.0,-74500.0,167,0,0,0
92800,17500.0,-75300.0,167,0,0,0
92800,21900.0,-70900.0,167,0,0,0
92800,36600.0,-56200.0,167,0,0,0
92800,18400.0,-74400.0,167,0,0,0
92800,16300.0,-76500.0,167,0,0,0
92800,13200.0,-79600.0,167,0,0,0
92800,15200.0,-77600.0,167,0,0,0
92800,22200.0,-70600.0,167,0,0,0
92800,15800.0,-77000.0,167,0,0,0
92800,16900.0,-75900.0,167,0,0,0
92800,20500.0,-72300.0,167,0,0,0
92800,23100.0,-69700.0,167,0,0,0
92800,35800.0,-57000.0,167,0,0,0
92800,17900.0,-74900.0,167,0,0,0
92800,15700.0,-77100.0,167,0,0,0
92800,38100.0,-54700.0,167,0,0,0
92800,20700.0,-72100.0,167,0,0,0
92800,16100.0,-76700.0,167,0,0,0
92800,16000.0,-76800.0,167,0,0,0
92800,15700.0,-77100.0,167,0,0,0
92800,54700.0,-38100.0,167,0,0,0
92800,17500.0,-75300.0,167,0,0,0
92800,16400.0,-76400.0,167,0,0,0
92800,38500.0,-54300.0,167,0,0,0
92800,18800.0,-74000.0,167,0,0,0
92800,18400.0,-74400.0,167,0,0,0
92800,21400.0,-71400.0,167,0,0,0
92800,19300.0,-73500.0,167,0,0,0
92800,16000.0,-76800.0,167,0,0,0
92800,19100.0,-73700.0,167,0,0,0
92800,15300.0,-77500.0,167,0,0,0
92800,42000.0,-50800.0,167,0,0,0
92800,17100.0,-75700.0,167,0,0,0
92800,20300.0,-72500.0,167,0,0,0
92800,16000.0,-76800.0,167,0,0,0
92800,37100.0,-55700.0,167,0,0,0
92800,13300.0,-79500.0,167,0,0,0
92800,18000.0,-74800.0,167,0,0,0
92800,15600.0,-77200.0,167,0,0,0
92800,17200.0,-75600.0,167,0,0,0
92800,17300.0,-75500.0,167,0,0,0
92800,15100.0,-77700.0,167,0,0,0
92800,16700.0,-76100.0,167,0,0,0
92800,20700.0,-72100.0,167,0,0,0
92800,20700.0,-72100.0,167,0,0,0
92800,21400.0,-71400.0,167,0,0,0
92800,15700.0,-77100.0,167,0,0,0
92800,18700.0,-74100.0,167,0,0,0
92800,20800.0,-72000.0,167,0,0,0
92800,16500.0,-76300.0,167,0,0,0
92800,18700.0,-74100.0,167,0,0,0
92800,17200.0,-75600.0,167,0,0,0
92800,37100.0,-55700.0,167,0,0,0
92800,36800.0,-56000.0,167,0,0,0
92800,14600.0,-78200.0,167,0,0,0
92800,16400.0,-76400.0,167,0,0,0
92800,22800.0,-70000.0,167,0,0,0
92800,14900.0,-77900.0,167,0,0,0
92800,20400.0,-72400.0,167,0,0,0
92800,16800.0,-76000.0,167,0,0,0
92800,12900.0,-79900.0,167,0,0,0
92800,14700.0,-78100.0,167,0,0,0
92800,22900.0,-69900.0,167,0,0,0
92800,22300.0,-70500.0,167,0,0,0
92800,28200.0,-64600.0,167,0,0,0
92800,19200.0,-73600.0,167,0,0,0
92800,16600.0,-76200.0,167,0,0,0
92800,17100.0,-75700.0,167,0,0,0
92800,17000.0,-75800.0,167,0,0,0
92800,16000.0,-76800.0,167,0,0,0
92800,20100.0,-72700.0,167,0,0,0
92800,16700.0,-76100.0,167,0,0,0
92800,15900.0,-76900.0,167,0,0,0
92800,16600.0,-76200.0,167,0,0,0
92800,15500.0,-77300.0,167,0,0,0
92800,12800.0,-80000.0,167,0,0,0
92800,16600.0,-76200.0,167,0,0,0
92800,19400.0,-73400.0,167,0,0,0
92800,21700.0,-71100.0,167,0,0,0
92800,18400.0,-74400.0,167,0,0,0
92800,15000.0,-77800.0,167,0,0,0
92800,38300.0,-54500.0,167,0,0,0
92800,16300.0,-76500.0,167,0,0,0
92800,19500.0,-73300.0,167,0,0,0
92800,16600.0,-76200.0,167,0,0,0
92800,33300.0,-59500.0,167,0,0,0
92800,17000.0,-75800.0,167,0,0,0
92800,22900.0,-69900.0,167,0,0,0
92800,14500.0,-78300.0,167,0,0,0
92800,17400.0,-75400.0,167,0,0,0
92800,15000.0,-77800.0,167,0,0,0
92800,21300.0,-71500.0,167,0,0,0
92800,35100.0,-57700.0,167,0,0,0
92800,18500.0,-74300.0,167,0,0,0
92800,18600.0,-74200.0,167,0,0,0
92800,20300.0,-72500.0,167,0,0,0
92800,23200.0,-69600.0,167,0,0,0
92800,17900.0,-74900.0,167,0,0,0
92800,20500.0,-72300.0,167,0,0,0
92800,15700.0,-77100.0,167,0,0,0
92800,12800.0,-80000.0,167,0,0,0
92800,17900.0,-74900.0,167,0,0,0
92800,16800.0,-76000.0,167,0,0,0
92800,36500.0,-56300.0,167,0,0,0
92800,14700.0,-78100.0,167,0,0,0
92800,15700.0,-77100.0,167,0,0,0
92800,13900.0,-78900.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,17900.0,-74900.0,167,0,0,0
92800,42700.0,-50100.0,167,0,0,0
92800,16700.0,-76100.0,167,0,0,0
92800,20400.0,-72400.0,167,0,0,0
92800,19900.0,-72900.0,167,0,0,0
92800,16700.0,-76100.0,167,0,0,0
92800,16000.0,-76800.0,167,0,0,0
92800,39500.0,-53300.0,167,0,0,0
92800,15600.0,-77200.0,167,0,0,0
92800,16000.0,-76800.0,167,0,0,0
92800,21800.0,-71000.0,167,0,0,0
92800,15100.0,-77700.0,167,0,0,0
92800,17700.0,-75100.0,167,0,0,0
92800,16600.0,-76200.0,167,0,0,0
92800,15600.0,-77200.0,167,0,0,0
92800,19900.0,-72900.0,167,0,0,0
92800,16200.0,-76600.0,167,0,0,0
92800,15300.0,-77500.0,167,0,0,0
92800,14800.0,-78000.0,167,0,0,0
92800,19000.0,-73800.0,167,0,0,0
92800,15800.0,-77000.0,167,0,0,0
92800,15300.0,-77500.0,167,0,0,0
92800,15700.0,-77100.0,167,0,0,0
92800,16700.0,-76100.0,167,0,0,0
92800,17800.0,-75000.0,167,0,0,0
92800,13700.0,-79100.0,167,0,0,0
92800,35600.0,-57200.0,167,0,0,0
92800,14600.0,-78200.0,167,0,0,0
92800,17700.0,-75100.0,167,0,0,0
92800,15500.0,-77300.0,167,0,0,0
92800,15600.0,-77200.0,167,0,0,0
92800,19600.0,-73200.0,167,0,0,0
92800,14800.0,-78000.0,167,0,0,0
92800,14900.0,-77900.0,167,0,0,0
92800,23000.0,-69800.0,167,0,0,0
92800,15600.0,-77200.0,167,0,0,0
92800,21800.0,-71000.0,167,0,0,0
92800,19900.0,-72900.0,167,0,0,0
92800,14900.0,-77900.0,167,0,0,0
92800,21100.0,-71700.0,167,0,0,0
92800,14200.0,-78600.0,167,0,0,0
92800,15000.0,-77800.0,167,0,0,0
92800,15100.0,-77700.0,167,0,0,0
92800,15900.0,-76900.0,167,0,0,0
92800,14900.0,-77900.0,167,0,0,0
92800,15700.0,-77100.0,167,0,0,0
92800,14100.0,-78700.0,167,0,0,0
92800,169200.0,76400.0,167,0,0,1
92800,19800.0,-73000.0,167,0,0,0
92800,13100.0,-79700.0,167,0,0,0
92800,13700.0,-79100.0,167,0,0,0
92800,14700.0,-78100.0,167,0,0,0
92800,19700.0,-73100.0,167,0,0,0
92800,16900.0,-75900.0,167,0,0,0
92800,16800.0,-76000.0,167,0,0,0
92800,15900.0,-76900.0,167,0,0,0
92800,16900.0,-75900.0,167,0,0,0
92800,20500.0,-72300.0,167,0,0,0
92800,13900.0,-78900.0,167,0,0,0
92800,16600.0,-76200.0,167,0,0,0
92800,16600.0,-76200.0,167,0,0,0
92800,17000.0,-75800.0,167,0,0,0
92800,15300.0,-77500.0,167,0,0,0
92800,16500.0,-76300.0,167,0,0,0
92800,14300.0,-78500.0,167,0,0,0
92800,15500.0,-77300.0,167,0,0,0
92800,20400.0,-72400.0,167,0,0,0
92800,17400.0,-75400.0,167,0,0,0
92800,16900.0,-75900.0,167,0,0,0
92800,17300.0,-75500.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,17300.0,-75500.0,167,0,0,0
92800,18600.0,-74200.0,167,0,0,0
92800,13200.0,-79600.0,167,0,0,0
92800,17600.0,-75200.0,167,0,0,0
92800,15000.0,-77800.0,167,0,0,0
92800,14300.0,-78500.0,167,0,0,0
92800,17200.0,-75600.0,167,0,0,0
92800,15100.0,-77700.0,167,0,0,0
92800,15300.0,-77500.0,167,0,0,0
92800,15700.0,-77100.0,167,0,0,0
92800,20000.0,-72800.0,167,0,0,0
92800,16100.0,-76700.0,167,0,0,0
92800,13500.0,-79300.0,167,0,0,0
92800,14400.0,-78400.0,167,0,0,0
92800,16900.0,-75900.0,167,0,0,0
92800,14300.0,-78500.0,167,0,0,0
92800,15700.0,-77100.0,167,0,0,0
92800,14400.0,-78400.0,167,0,0,0
92800,17800.0,-75000.0,167,0,0,0
92800,17900.0,-74900.0,167,0,0,0
92800,18300.0,-74500.0,167,0,0,0
92800,22000.0,-70800.0,167,0,0,0
92800,18900.0,-73900.0,167,0,0,0
92800,16700.0,-76100.0,167,0,0,0
92800,14500.0,-78300.0,167,0,0,0
92800,14300.0,-78500.0,167,0,0,0
92800,38300.0,-54500.0,167,0,0,0
92800,23600.0,-69200.0,167,0,0,0
92800,19200.0,-73600.0,167,0,0,0
92800,20100.0,-72700.0,167,0,0,0
92800,14500.0,-78300.0,167,0,0,0
92800,21400.0,-71400.0,167,0,0,0
92800,18400.0,-74400.0,167,0,0,0
92800,16600.0,-76200.0,167,0,0,0
92800,15300.0,-77500.0,167,0,0,0
92800,15600.0,-77200.0,167,0,0,0
92800,15400.0,-77400.0,167,0,0,0
92800,14500.0,-78300.0,167,0,0,0
92800,14500.0,-78300.0,167,0,0,0
92800,14400.0,-78400.0,167,0,0,0
92800,22100.0,-70700.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,21100.0,-71700.0,167,0,0,0
92800,34900.0,-57900.0,167,0,0,0
92800,21200.0,-71600.0,167,0,0,0
92800,13400.0,-79400.0,167,0,0,0
92800,16300.0,-76500.0,167,0,0,0
92800,36500.0,-56300.0,167,0,0,0
92800,12800.0,-80000.0,167,0,0,0
92800,16900.0,-75900.0,167,0,0,0
92800,16000.0,-76800.0,167,0,0,0
92800,16700.0,-76100.0,167,0,0,0
92800,18300.0,-74500.0,167,0,0,0
92800,17800.0,-75000.0,167,0,0,0
92800,19500.0,-73300.0,167,0,0,0
92800,12400.0,-80400.0,167,0,0,0
92800,13800.0,-79000.0,167,0,0,0
92800,16400.0,-76400.0,167,0,0,0
92800,17100.0,-75700.0,167,0,0,0
92800,15400.0,-77400.0,167,0,0,0
92800,17400.0,-75400.0,167,0,0,0
92800,16300.0,-76500.0,167,0,0,0
92800,16700.0,-76100.0,167,0,0,0
92800,16400.0,-76400.0,167,0,0,0
92800,12800.0,-80000.0,167,0,0,0
92800,15500.0,-77300.0,167,0,0,0
92800,22700.0,-70100.0,167,0,0,0
92800,16200.0,-76600.0,167,0,0,0
92800,15800.0,-77000.0,167,0,0,0
92800,16300.0,-76500.0,167,0,0,0
92800,18300.0,-74500.0,167,0,0,0
92800,21400.0,-71400.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,17900.0,-74900.0,167,0,0,0
92800,12900.0,-79900.0,167,0,0,0
92800,15800.0,-77000.0,167,0,0,0
92800,14400.0,-78400.0,167,0,0,0
92800,19700.0,-73100.0,167,0,0,0
92800,19500.0,-73300.0,167,0,0,0
92800,16100.0,-76700.0,167,0,0,0
92800,23600.0,-69200.0,167,0,0,0
92800,19200.0,-73600.0,167,0,0,0
92800,14600.0,-78200.0,167,0,0,0
92800,16800.0,-76000.0,167,0,0,0
92800,14800.0,-78000.0,167,0,0,0
92800,15300.0,-77500.0,167,0,0,0
92800,34200.0,-58600.0,167,0,0,0
92800,18300.0,-74500.0,167,0,0,0
92800,14600.0,-78200.0,167,0,0,0
92800,17300.0,-75500.0,167,0,0,0
92800,17000.0,-75800.0,167,0,0,0
92800,12700.0,-80100.0,167,0,0,0
92800,35800.0,-57000.0,167,0,0,0
92800,15500.0,-77300.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,16000.0,-76800.0,167,0,0,0
92800,15600.0,-77200.0,167,0,0,0
92800,25600.0,-67200.0,167,0,0,0
92800,15600.0,-77200.0,167,0,0,0
92800,14700.0,-78100.0,167,0,0,0
92800,17300.0,-75500.0,167,0,0,0
92800,12400.0,-80400.0,167,0,0,0
92800,19500.0,-73300.0,167,0,0,0
92800,15300.0,-77500.0,167,0,0,0
92800,15600.0,-77200.0,167,0,0,0
92800,17400.0,-75400.0,167,0,0,0
92800,13500.0,-79300.0,167,0,0,0
92800,18000.0,-74800.0,167,0,0,0
92800,36900.0,-55900.0,167,0,0,0
92800,17700.0,-75100.0,167,0,0,0
92800,38600.0,-54200.0,167,0,0,0
92800,14500.0,-78300.0,167,0,0,0
92800,19300.0,-73500.0,167,0,0,0
92800,38400.0,-54400.0,167,0,0,0
92800,20400.0,-72400.0,167,0,0,0
92800,16800.0,-76000.0,167,0,0,0
92800,37500.0,-55300.0,167,0,0,0
92800,18500.0,-74300.0,167,0,0,0
92800,16800.0,-76000.0,167,0,0,0
92800,17200.0,-75600.0,167,0,0,0
92800,15700.0,-77100.0,167,0,0,0
92800,14500.0,-78300.0,167,0,0,0
92800,22400.0,-70400.0,167,0,0,0
92800,20400.0,-72400.0,167,0,0,0
92800,21600.0,-71200.0,167,0,0,0
92800,11800.0,-81000.0,167,0,0,0
92800,19500.0,-73300.0,167,0,0,0
92800,12500.0,-80300.0,167,0,0,0
92800,13800.0,-79000.0,167,0,0,0
92800,21700.0,-71100.0,167,0,0,0
92800,35300.0,-57500.0,167,0,0,0
92800,21100.0,-71700.0,167,0,0,0
92800,16700.0,-76100.0,167,0,0,0
92800,17000.0,-75800.0,167,0,0,0
92800,18700.0,-74100.0,167,0,0,0
92800,15600.0,-77200.0,167,0,0,0
92800,16100.0,-76700.0,167,0,0,0
92800,15500.0,-77300.0,167,0,0,0
92800,12600.0,-80200.0,167,0,0,0
92800,36100.0,-56700.0,167,0,0,0
92800,15000.0,-77800.0,167,0,0,0
92800,20700.0,-72100.0,167,0,0,0
92800,20800.0,-72000.0,167,0,0,0
92800,15200.0,-77600.0,167,0,0,0
92800,21300.0,-71500.0,167,0,0,0
92800,17600.0,-75200.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,16300.0,-76500.0,167,0,0,0
92800,14400.0,-78400.0,167,0,0,0
92800,19400.0,-73400.0,167,0,0,0
92800,14300.0,-78500.0,167,0,0,0
92800,14600.0,-78200.0,167,0,0,0
92800,14600.0,-78200.0,167,0,0,0
92800,16900.0,-75900.0,167,0,0,0
92800,14500.0,-78300.0,167,0,0,0
92800,16000.0,-76800.0,167,0,0,0
92800,16300.0,-76500.0,167,0,0,0
92800,14600.0,-78200.0,167,0,0,0
92800,15300.0,-77500.0,167,0,0,0
92800,15300.0,-77500.0,167,0,0,0
92800,19900.0,-72900.0,167,0,0,0
92800,16900.0,-75900.0,167,0,0,0
92800,14000.0,-78800.0,167,0,0,0
92800,13300.0,-79500.0,167,0,0,0
92800,14300.0,-78500.0,167,0,0,0
92800,18600.0,-74200.0,167,0,0,0
92800,18900.0,-73900.0,167,0,0,0
92800,14200.0,-78600.0,167,0,0,0
92800,15700.0,-77100.0,167,0,0,0
92800,19200.0,-73600.0,167,0,0,0
92800,19100.0,-73700.0,167,0,0,0
92800,14800.0,-78000.0,167,0,0,0
92800,18000.0,-74800.0,167,0,0,0
92800,18300.0,-74500.0,167,0,0,0
92800,17600.0,-75200.0,167,0,0,0
92800,12600.0,-80200.0,167,0,0,0
92800,18000.0,-74800.0,167,0,0,0
92800,17700.0,-75100.0,167,0,0,0
92800,12000.0,-80800.0,167,0,0,0
92800,13600.0,-79200.0,167,0,0,0
92800,54700.0,-38100.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,16900.0,-75900.0,167,0,0,0
92800,16600.0,-76200.0,167,0,0,0
92800,16500.0,-76300.0,167,0,0,0
92800,13800.0,-79000.0,167,0,0,0
92800,16000.0,-76800.0,167,0,0,0
92800,13100.0,-79700.0,167,0,0,0
92800,15300.0,-77500.0,167,0,0,0
92800,12500.0,-80300.0,167,0,0,0
92800,12900.0,-79900.0,167,0,0,0
92800,14900.0,-77900.0,167,0,0,0
92800,13900.0,-78900.0,167,0,0,0
92800,13500.0,-79300.0,167,0,0,0
92800,12500.0,-80300.0,167,0,0,0
92800,16800.0,-76000.0,167,0,0,0
92800,21700.0,-71100.0,167,0,0,0
92800,14900.0,-77900.0,167,0,0,0
92800,14200.0,-78600.0,167,0,0,0
92800,21400.0,-71400.0,167,0,0,0
92800,16300.0,-76500.0,167,0,0,0
92800,19300.0,-73500.0,167,0,0,0
92800,18900.0,-73900.0,167,0,0,0
92800,16600.0,-76200.0,167,0,0,0
92800,15900.0,-76900.0,167,0,0,0
92800,18900.0,-73900.0,167,0,0,0
92800,19400.0,-73400.0,167,0,0,0
92800,17500.0,-75300.0,167,0,0,0
92800,16200.0,-76600.0,167,0,0,0
92800,14500.0,-78300.0,167,0,0,0
92800,14300.0,-78500.0,167,0,0,0
92800,14800.0,-78000.0,167,0,0,0
92800,16600.0,-76200.0,167,0,0,0
92800,20500.0,-72300.0,167,0,0,0
92800,15700.0,-77100.0,167,0,0,0
92800,16400.0,-76400.0,167,0,0,0
92800,14900.0,-77900.0,167,0,0,0
92800,18100.0,-74700.0,167,0,0,0
92800,23500.0,-69300.0,167,0,0,0
92800,166500.0,73700.0,167,0,0,1
92800,16200.0,-76600.0,167,0,0,0
92800,19200.0,-73600.0,167,0,0,0
92800,15100.0,-77700.0,167,0,0,0
92800,23200.0,-69600.0,167,0,0,0
92800,15600.0,-77200.0,167,0,0,0
92800,14900.0,-77900.0,167,0,0,0
92800,16500.0,-76300.0,167,0,0,0
92800,17600.0,-75200.0,167,0,0,0
92800,18500.0,-74300.0,167,0,0,0
92800,16900.0,-75900.0,167,0,0,0
92800,14500.0,-78300.0,167,0,0,0
92800,20700.0,-72100.0,167,0,0,0
92800,18400.0,-74400.0,167,0,0,0
92800,36000.0,-56800.0,167,0,0,0
92800,13800.0,-79000.0,167,0,0,0
92800,13200.0,-79600.0,167,0,0,0
92800,19400.0,-73400.0,167,0,0,0
92800,14400.0,-78400.0,167,0,0,0
92800,18900.0,-73900.0,167,0,0,0
92800,17100.0,-75700.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,16400.0,-76400.0,167,0,0,0
92800,19000.0,-73800.0,167,0,0,0
92800,35700.0,-57100.0,167,0,0,0
92800,13500.0,-79300.0,167,0,0,0
92800,11800.0,-81000.0,167,0,0,0
92800,14100.0,-78700.0,167,0,0,0
92800,13600.0,-79200.0,167,0,0,0
92800,35700.0,-57100.0,167,0,0,0
92800,24400.0,-68400.0,167,0,0,0
92800,16500.0,-76300.0,167,0,0,0
92800,17300.0,-75500.0,167,0,0,0
92800,14600.0,-78200.0,167,0,0,0
92800,15300.0,-77500.0,167,0,0,0
92800,13800.0,-79000.0,167,0,0,0
92800,18000.0,-74800.0,167,0,0,0
92800,20700.0,-72100.0,167,0,0,0
92800,14900.0,-77900.0,167,0,0,0
92800,40400.0,-52400.0,167,0,0,0
92800,15000.0,-77800.0,167,0,0,0
92800,19600.0,-73200.0,167,0,0,0
92800,21300.0,-71500.0,167,0,0,0
92800,16500.0,-76300.0,167,0,0,0
92800,19600.0,-73200.0,167,0,0,0
92800,14200.0,-78600.0,167,0,0,0
92800,22700.0,-70100.0,167,0,0,0
92800,12300.0,-80500.0,167,0,0,0
92800,22100.0,-70700.0,167,0,0,0
92800,21500.0,-71300.0,167,0,0,0
92800,13500.0,-79300.0,167,0,0,0
92800,17000.0,-75800.0,167,0,0,0
92800,21300.0,-71500.0,167,0,0,0
92800,18600.0,-74200.0,167,0,0,0
92800,18700.0,-74100.0,167,0,0,0
92800,17600.0,-75200.0,167,0,0,0
92800,34100.0,-58700.0,167,0,0,0
92800,166400.0,73600.0,167,0,0,1
92800,17800.0,-75000.0,167,0,0,0
92800,20700.0,-72100.0,167,0,0,0
92800,15100.0,-77700.0,167,0,0,0
92800,15900.0,-76900.0,167,0,0,0
92800,36100.0,-56700.0,167,0,0,0
92800,15900.0,-76900.0,167,0,0,0
92800,21600.0,-71200.0,167,0,0,0
92800,16000.0,-76800.0,167,0,0,0
92800,23100.0,-69700.0,167,0,0,0
92800,22300.0,-70500.0,167,0,0,0
92800,21900.0,-70900.0,167,0,0,0
92800,17700.0,-75100.0,167,0,0,0
92800,14100.0,-78700.0,167,0,0,0
92800,15500.0,-77300.0,167,0,0,0
92800,13200.0,-79600.0,167,0,0,0
92800,20100.0,-72700.0,167,0,0,0
92800,18300.0,-74500.0,167,0,0,0
92800,15000.0,-77800.0,167,0,0,0
92800,16600.0,-76200.0,167,0,0,0
92800,20200.0,-72600.0,167,0,0,0
92800,17500.0,-75300.0,167,0,0,0
92800,37500.0,-55300.0,167,0,0,0
92800,14700.0,-78100.0,167,0,0,0
92800,16900.0,-75900.0,167,0,0,0
92800,13200.0,-79600.0,167,0,0,0
92800,17400.0,-75400.0,167,0,0,0
92800,23400.0,-69400.0,167,0,0,0
92800,15500.0,-77300.0,167,0,0,0
92800,15900.0,-76900.0,167,0,0,0
92800,13200.0,-79600.0,167,0,0,0
92800,16100.0,-76700.0,167,0,0,0
92800,18600.0,-74200.0,167,0,0,0
92800,16400.0,-76400.0,167,0,0,0
92800,15100.0,-77700.0,167,0,0,0
92800,17000.0,-75800.0,167,0,0,0
92800,17100.0,-75700.0,167,0,0,0
92800,14700.0,-78100.0,167,0,0,0
92800,37300.0,-55500.0,167,0,0,0
92800,18800.0,-74000.0,167,0,0,0
92800,15100.0,-77700.0,167,0,0,0
92800,16100.0,-76700.0,167,0,0,0
92800,18800.0,-74000.0,167,0,0,0
92800,23700.0,-69100.0,167,0,0,0
92800,17500.0,-75300.0,167,0,0,0
92800,25400.0,-67400.0,167,0,0,0
92800,12300.0,-80500.0,167,0,0,0
92800,16400.0,-76400.0,167,0,0,0
92800,21600.0,-71200.0,167,0,0,0
92800,17200.0,-75600.0,167,0,0,0
92800,16200.0,-76600.0,167,0,0,0
92800,20300.0,-72500.0,167,0,0,0
92800,19400.0,-73400.0,167,0,0,0
92800,15800.0,-77000.0,167,0,0,0
92800,11800.0,-81000.0,167,0,0,0
92800,19400.0,-73400.0,167,0,0,0
92800,17100.0,-75700.0,167,0,0,0
92800,17100.0,-75700.0,167,0,0,0
92800,12900.0,-79900.0,167,0,0,0
92800,15500.0,-77300.0,167,0,0,0
92800,20900.0,-71900.0,167,0,0,0
92800,16600.0,-76200.0,167,0,0,0
92800,17800.0,-75000.0,167,0,0,0
92800,19400.0,-73400.0,167,0,0,0
92800,17100.0,-75700.0,167,0,0,0
92800,18800.0,-74000.0,167,0,0,0
92800,15500.0,-77300.0,167,0,0,0
92800,25800.0,-67000.0,167,0,0,0
92800,15700.0,-77100.0,167,0,0,0
92800,17300.0,-75500.0,167,0,0,0
92800,14900.0,-77900.0,167,0,0,0
92800,13100.0,-79700.0,167,0,0,0
92800,16900.0,-75900.0,167,0,0,0
92800,12800.0,-80000.0,167,0,0,0
92800,17300.0,-75500.0,167,0,0,0
92800,22000.0,-70800.0,167,0,0,0
92800,16100.0,-76700.0,167,0,0,0
92800,17100.0,-75700.0,167,0,0,0
92800,16500.0,-76300.0,167,0,0,0
92800,20700.0,-72100.0,167,0,0,0
92800,18200.0,-74600.0,167,0,0,0
92800,16200.0,-76600.0,167,0,0,0
92800,19100.0,-73700.0,167,0,0,0
92800,16900.0,-75900.0,167,0,0,0
92800,21000.0,-71800.0,167,0,0,0
92800,27800.0,-65000.0,167,0,0,0
92800,13600.0,-79200.0,167,0,0,0
92800,16200.0,-76600.0,167,0,0,0
92800,14600.0,-78200.0,167,0,0,0
